	ID	Lat	Long	Types
157	068878b228e21be701a3acdcb37464151b0bb7d5	54.690678	25.273915	['park', 'point_of_interest', 'establishment']
158	601a1b17f1239af5075cd02ce5485ccf0caf12a0	54.70396299999999	25.2686431	['park', 'point_of_interest', 'establishment']
159	08c98a8bcdd4be307a1bdddfe8782b73f70f76d5	54.6976948	25.3098556	['park', 'point_of_interest', 'establishment']
160	9c9985a61eb033f0e8c744c4e1e1b1ead47eed12	54.666729	25.291393	['park', 'point_of_interest', 'establishment']
161	d2b40d420cdbd373afcbb3a7272b6f5012b260de	54.682928	25.237667	['park', 'point_of_interest', 'establishment']
162	46626ba4c2e586d4183620bbad48ca2e9d3f1e81	54.6893141	25.2708089	['park', 'point_of_interest', 'establishment']
163	46403f9550d2e36dddf44de9b5bf1b1e755a54e7	54.68757209999999	25.2805981	['park', 'point_of_interest', 'establishment']
164	1b9b99bad2b0ba2861594d6a822be4505f607848	54.6842872	25.2762945	['park', 'point_of_interest', 'establishment']
165	d4b6c605b2103147e7621cfe840e97878c2be4fb	54.68747150000001	25.2878097	['park', 'point_of_interest', 'establishment']
166	968a7502930bc97a1ae29fb75c55437b4fadcfe2	54.68127519999999	25.2761931	['park', 'point_of_interest', 'establishment']
167	b0408343106a426321636f8cf5b9b85fd62ed3c5	54.68902130000001	25.2707642	['park', 'point_of_interest', 'establishment']
168	873452bcf6555f2bdc5243e43d44262eaae3cff3	54.68205179999999	25.2726437	['park', 'point_of_interest', 'establishment']
169	4a1e0d891a4a55f352cb7c9dc4aedb69e03e0433	54.6857726	25.2692735	['park', 'point_of_interest', 'establishment']
170	ccb15d37c79f221f787603621ada012d068172f7	54.6862532	25.293226	['park', 'point_of_interest', 'establishment']
171	3c33b65b63df4f82bb290923de551817e114340f	54.679337	25.2838869	['park', 'point_of_interest', 'establishment']
172	c14b6dca3f29a2f7ec235b6778ea755f9cbdab88	54.6831386	25.2691801	['park', 'point_of_interest', 'establishment']
173	b725c92c129d42b1c41d16d70797e44227475ab0	54.67962230000001	25.2879589	['park', 'point_of_interest', 'establishment']
174	1e2e394e5b7042a757f74a43c1398c2174788584	54.6952755	25.2804002	['park', 'point_of_interest', 'establishment']
